                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72355,                0.53006,                 1.1734,                 0.9764,                0.96407,                0.98081,                0.86906,                 0.6304,                0.31485,                 1.0821,                0.06671,             3.3323e-05,             3.3323e-05
                      2,                0.67648,                0.46731,                 1.1355,                0.97805,                0.96421,                0.98147,                0.87821,                0.60569,                0.30418,                 1.0603,                0.03341,             6.6649e-05,             6.6649e-05
                      3,                0.65565,                0.44763,                 1.1195,                0.97609,                0.95942,                0.97898,                0.88066,                0.58818,                0.30159,                 1.0479,             0.00011005,             9.9946e-05,             9.9946e-05
                      4,                0.64091,                0.43074,                 1.1046,                0.97878,                0.96347,                0.98076,                0.88632,                0.57459,                0.28958,                 1.0324,             9.9902e-05,             9.9902e-05,             9.9902e-05
                      5,                0.62983,                0.42103,                 1.0951,                0.98412,                0.96798,                 0.9839,                0.89401,                0.55886,                0.26966,                 1.0214,             9.9902e-05,             9.9902e-05,             9.9902e-05
                      6,                 0.6183,                0.41015,                 1.0862,                0.97948,                0.96776,                0.98237,                0.89405,                0.55334,                0.27246,                 1.0149,             9.9826e-05,             9.9826e-05,             9.9826e-05
                      7,                0.61066,                0.40619,                 1.0845,                0.98082,                0.96602,                0.98204,                0.89639,                0.54506,                0.27145,                 1.0138,             9.9729e-05,             9.9729e-05,             9.9729e-05
                      8,                0.60403,                0.40129,                 1.0792,                0.98031,                0.96427,                0.98157,                0.89873,                0.53762,                0.26577,                 1.0058,              9.961e-05,              9.961e-05,              9.961e-05
                      9,                0.60188,                0.39914,                 1.0759,                0.98193,                0.96979,                0.98375,                0.90195,                 0.5316,                0.25641,                0.99879,             9.9469e-05,             9.9469e-05,             9.9469e-05
                     10,                0.59482,                0.39495,                 1.0698,                0.98375,                0.96723,                0.98354,                0.90216,                0.52974,                0.25643,                0.99883,             9.9307e-05,             9.9307e-05,             9.9307e-05
                     11,                0.59573,                0.39457,                 1.0737,                0.98214,                 0.9691,                0.98362,                0.90299,                0.52536,                0.25383,                0.99603,             9.9123e-05,             9.9123e-05,             9.9123e-05
                     12,                 0.5889,                0.38993,                 1.0681,                0.98294,                0.96702,                0.98277,                0.90334,                0.52389,                0.25464,                0.99384,             9.8918e-05,             9.8918e-05,             9.8918e-05
                     13,                0.58721,                0.38709,                 1.0656,                0.98265,                0.96817,                0.98317,                0.90528,                0.52074,                0.25403,                 0.9908,             9.8692e-05,             9.8692e-05,             9.8692e-05
                     14,                0.58301,                0.38457,                 1.0636,                0.98372,                0.96717,                0.98342,                0.90592,                0.51819,                0.25014,                0.98909,             9.8445e-05,             9.8445e-05,             9.8445e-05
                     15,                0.58171,                 0.3869,                 1.0645,                0.98295,                0.96719,                0.98314,                0.90646,                 0.5165,                0.24942,                0.98851,             9.8177e-05,             9.8177e-05,             9.8177e-05
                     16,                0.57628,                0.38129,                 1.0612,                0.98276,                0.96659,                0.98316,                  0.907,                 0.5143,                0.24839,                0.98711,             9.7887e-05,             9.7887e-05,             9.7887e-05
                     17,                0.57603,                0.37967,                   1.06,                 0.9828,                0.96861,                0.98358,                0.90732,                 0.5118,                 0.2463,                0.98592,             9.7577e-05,             9.7577e-05,             9.7577e-05
                     18,                0.57149,                0.37942,                 1.0582,                 0.9832,                0.96824,                 0.9837,                0.90811,                0.50989,                0.24466,                0.98408,             9.7247e-05,             9.7247e-05,             9.7247e-05
                     19,                0.56984,                0.37531,                 1.0563,                 0.9836,                0.96798,                0.98382,                0.90838,                0.50844,                0.24419,                0.98332,             9.6895e-05,             9.6895e-05,             9.6895e-05
                     20,                0.56834,                0.37321,                 1.0537,                0.98262,                0.96801,                 0.9836,                 0.9087,                0.50728,                0.24371,                 0.9825,             9.6524e-05,             9.6524e-05,             9.6524e-05
                     21,                0.57027,                0.37671,                 1.0547,                0.98259,                0.96838,                0.98359,                0.90893,                0.50695,                0.24333,                0.98222,             9.6524e-05,             9.6524e-05,             9.6524e-05
                     22,                0.56673,                 0.3737,                 1.0557,                0.98315,                0.96851,                0.98369,                0.90918,                0.50653,                0.24266,                 0.9821,             9.5721e-05,             9.5721e-05,             9.5721e-05
                     23,                0.56131,                0.37166,                 1.0509,                0.98354,                0.96824,                0.98379,                0.90921,                0.50605,                0.24216,                0.98203,             9.5289e-05,             9.5289e-05,             9.5289e-05
                     24,                  0.554,                0.36274,                 1.0447,                0.98362,                0.96818,                 0.9838,                0.90932,                0.50571,                0.24211,                0.98181,             9.4838e-05,             9.4838e-05,             9.4838e-05
                     25,                0.55023,                0.35988,                 1.0429,                0.98341,                0.96825,                0.98376,                0.90951,                0.50519,                0.24149,                0.98145,             9.4367e-05,             9.4367e-05,             9.4367e-05
                     26,                0.54483,                0.35618,                 1.0397,                0.98333,                0.96873,                0.98386,                0.90972,                0.50476,                0.24144,                 0.9813,             9.3877e-05,             9.3877e-05,             9.3877e-05
                     27,                0.54098,                0.35527,                 1.0381,                0.98314,                 0.9686,                0.98375,                0.90955,                0.50423,                0.24078,                0.98117,             9.3368e-05,             9.3368e-05,             9.3368e-05
                     28,                0.53937,                0.35337,                 1.0363,                0.98328,                 0.9679,                0.98365,                0.90955,                0.50383,                0.24034,                0.98112,             9.2841e-05,             9.2841e-05,             9.2841e-05
                     29,                0.54047,                0.35378,                 1.0373,                 0.9855,                0.96559,                0.98371,                0.90966,                 0.5032,                0.23974,                0.98083,             9.2294e-05,             9.2294e-05,             9.2294e-05
                     30,                0.53535,                0.35269,                 1.0333,                0.98545,                0.96566,                0.98362,                0.91001,                0.50261,                0.23942,                0.98064,              9.173e-05,              9.173e-05,              9.173e-05
                     31,                 0.5374,                0.35197,                 1.0351,                0.98348,                0.96789,                0.98369,                0.91033,                0.50204,                0.23886,                0.98033,             9.1147e-05,             9.1147e-05,             9.1147e-05
                     32,                0.53136,                0.35115,                 1.0307,                0.98197,                0.96954,                0.98376,                0.91037,                0.50153,                0.23915,                   0.98,             9.0546e-05,             9.0546e-05,             9.0546e-05
