                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                    inf,                0.41901,                0.86613,                0.93142,                0.88059,                0.92507,                0.76664,                0.70063,                0.42289,                0.99555,              0.0007087,              0.0007087,              0.0007087
                     76,                 0.3076,                 0.4297,                0.86601,                0.94487,                0.86765,                0.92373,                0.76476,                0.70539,                0.42502,                 1.0005,             0.00070159,             0.00070159,             0.00070159
                     77,                0.30812,                0.42996,                0.86583,                0.94492,                0.86545,                0.92251,                0.76331,                0.71075,                0.43095,                 1.0057,             0.00069443,             0.00069443,             0.00069443
                     78,                    inf,                0.42842,                0.86657,                0.94068,                  0.869,                0.92254,                0.76303,                0.70999,                0.42961,                 1.0063,             0.00068722,             0.00068722,             0.00068722
                     79,                0.30708,                0.42893,                0.86765,                0.94577,                0.87188,                0.92554,                0.76749,                0.70549,                 0.4183,                 1.0032,             0.00067997,             0.00067997,             0.00067997
                     80,                0.30444,                0.42737,                0.86549,                0.93158,                0.88846,                 0.9281,                0.76918,                0.70344,                0.41242,                 1.0016,             0.00067268,             0.00067268,             0.00067268
                     81,                0.30496,                0.42607,                0.86516,                 0.9494,                0.88256,                0.93104,                0.77364,                0.69758,                0.40495,                0.99593,             0.00066534,             0.00066534,             0.00066534
                     82,                0.30687,                0.42483,                0.86508,                0.94293,                0.88623,                0.93125,                0.77212,                0.69756,                0.40952,                0.99444,             0.00065796,             0.00065796,             0.00065796
                     83,                 0.3046,                0.42323,                0.86452,                0.95275,                0.88163,                0.93173,                0.77544,                 0.6911,                0.40932,                 0.9867,             0.00065055,             0.00065055,             0.00065055
                     84,                0.30436,                0.42159,                 0.8644,                0.95262,                0.88145,                0.93226,                0.77644,                0.68925,                0.40966,                 0.9846,              0.0006431,              0.0006431,              0.0006431
                     85,                0.30433,                0.42178,                0.86479,                0.95874,                0.87833,                0.93222,                0.77649,                0.68993,                0.41319,                0.98471,             0.00063562,             0.00063562,             0.00063562
                     86,                0.30369,                  0.417,                0.86375,                0.95011,                0.88902,                0.93492,                0.77954,                0.68545,                0.40402,                0.98089,              0.0006281,              0.0006281,              0.0006281
                     87,                 0.3016,                0.41731,                0.86405,                0.95655,                0.88887,                0.93741,                0.78187,                0.68336,                  0.393,                0.97944,             0.00062056,             0.00062056,             0.00062056
                     88,                0.29985,                 0.4154,                0.86314,                0.95353,                 0.8905,                0.93803,                0.78252,                0.68289,                0.39207,                0.97992,             0.00061298,             0.00061298,             0.00061298
                     89,                0.29941,                0.41523,                0.86289,                0.95308,                 0.8852,                  0.935,                0.77986,                0.68382,                0.39764,                0.98046,             0.00060538,             0.00060538,             0.00060538
                     90,                0.29819,                0.41195,                0.86238,                0.94337,                0.89148,                0.93415,                0.78022,                0.68392,                0.39539,                0.98102,             0.00059775,             0.00059775,             0.00059775
                     91,                 0.2979,                 0.4111,                0.86272,                  0.947,                 0.8948,                0.93428,                0.78151,                0.68146,                0.39296,                0.98003,              0.0005901,              0.0005901,              0.0005901
                     92,                0.29904,                0.40885,                0.86291,                0.94886,                 0.8876,                0.93223,                0.77864,                0.68235,                0.40272,                0.98036,             0.00058244,             0.00058244,             0.00058244
                     93,                0.29672,                0.40917,                0.86336,                0.95012,                0.88022,                0.93016,                0.77731,                 0.6852,                0.40823,                0.98325,             0.00057475,             0.00057475,             0.00057475
                     94,                0.29571,                0.40788,                0.86204,                0.94624,                 0.8876,                0.93256,                 0.7786,                0.68526,                0.40148,                0.98455,             0.00056704,             0.00056704,             0.00056704
                     95,                0.29565,                0.40352,                0.86096,                0.93942,                0.88861,                0.92929,                0.77564,                0.68932,                0.40435,                0.98826,             0.00055932,             0.00055932,             0.00055932
                     96,                0.29415,                0.40421,                0.86076,                0.94224,                0.88665,                0.93005,                0.77489,                 0.6926,                0.40245,                0.99104,             0.00055158,             0.00055158,             0.00055158
                     97,                0.29366,                 0.4006,                0.86082,                0.94381,                0.88784,                0.92999,                0.77502,                0.68937,                0.39991,                0.98958,             0.00054384,             0.00054384,             0.00054384
                     98,                0.29031,                0.39884,                0.86153,                0.94363,                0.89353,                0.93258,                0.77751,                0.68647,                0.39592,                0.98802,             0.00053608,             0.00053608,             0.00053608
                     99,                0.29047,                0.39895,                0.86091,                0.94644,                0.88994,                0.93124,                0.77578,                0.68871,                0.39819,                0.98993,             0.00052832,             0.00052832,             0.00052832
                    100,                0.29038,                0.39975,                0.86217,                0.94837,                0.89583,                0.93749,                0.78206,                0.68393,                0.38658,                 0.9854,             0.00052055,             0.00052055,             0.00052055
                    101,                 0.2873,                0.39384,                0.86028,                0.94671,                0.89651,                0.93958,                0.78363,                 0.6855,                0.38226,                0.98655,             0.00051278,             0.00051278,             0.00051278
                    102,                0.29022,                0.39504,                0.86053,                0.95463,                0.89652,                0.94014,                0.78511,                0.68269,                0.37782,                0.98491,               0.000505,               0.000505,               0.000505
                    103,                0.28725,                0.39151,                0.85955,                0.95047,                0.89906,                0.94143,                 0.7862,                0.67974,                0.37639,                0.98305,             0.00049722,             0.00049722,             0.00049722
                    104,                0.28827,                0.39097,                0.85991,                0.95063,                0.89791,                0.94149,                0.78636,                0.67802,                0.37508,                0.98207,             0.00048945,             0.00048945,             0.00048945
                    105,                0.28681,                0.39077,                0.85835,                0.94731,                0.90051,                0.94257,                0.78857,                0.67478,                0.37348,                0.97899,             0.00048168,             0.00048168,             0.00048168
                    106,                0.28337,                0.38615,                0.85809,                0.94708,                0.89852,                0.94154,                 0.7892,                0.67556,                0.37537,                0.98036,             0.00047392,             0.00047392,             0.00047392
                    107,                0.28438,                0.38411,                0.85795,                0.94672,                0.89981,                0.93952,                0.78725,                  0.675,                0.38017,                0.98076,             0.00046616,             0.00046616,             0.00046616
                    108,                0.28369,                0.38429,                0.85791,                0.94855,                0.89865,                0.93846,                0.78496,                0.67582,                0.38013,                0.98207,             0.00045842,             0.00045842,             0.00045842
                    109,                0.28221,                0.38338,                0.85736,                0.94084,                0.89618,                0.93392,                0.78106,                 0.6822,                0.38935,                0.98667,             0.00045068,             0.00045068,             0.00045068
                    110,                0.28176,                0.38155,                0.85744,                0.94076,                0.89523,                0.93344,                 0.7804,                0.68124,                0.39066,                0.98635,             0.00044296,             0.00044296,             0.00044296
                    111,                0.28045,                0.38045,                0.85614,                0.94177,                0.89974,                0.93672,                0.78286,                0.67709,                0.38714,                0.98236,             0.00043525,             0.00043525,             0.00043525
                    112,                0.27903,                0.37716,                0.85555,                0.95177,                0.89563,                 0.9361,                0.78204,                0.67867,                0.38815,                0.98364,             0.00042756,             0.00042756,             0.00042756
                    113,                 0.2781,                0.37673,                0.85371,                0.94785,                0.89313,                0.93445,                0.78144,                0.67776,                0.38849,                0.98246,              0.0004199,              0.0004199,              0.0004199
                    114,                0.27781,                0.37501,                0.85466,                0.95156,                0.89109,                0.93377,                 0.7812,                0.67922,                 0.3894,                0.98262,             0.00041225,             0.00041225,             0.00041225
                    115,                0.27735,                0.37361,                0.85431,                0.94933,                0.89169,                 0.9334,                0.77991,                0.68004,                0.39502,                0.98281,             0.00040462,             0.00040462,             0.00040462
                    116,                0.27701,                 0.3718,                0.85514,                0.94805,                0.89045,                0.93227,                0.77716,                  0.685,                0.39756,                0.98771,             0.00039702,             0.00039702,             0.00039702
                    117,                0.27545,                0.37159,                0.85459,                0.94349,                0.89437,                0.93288,                0.77817,                0.68332,                0.39429,                0.98781,             0.00038944,             0.00038944,             0.00038944
                    118,                0.27427,                0.36996,                0.85482,                  0.941,                0.89295,                0.92969,                0.77566,                0.68512,                 0.4037,                0.99125,              0.0003819,              0.0003819,              0.0003819
                    119,                0.27269,                 0.3668,                0.85321,                0.94103,                0.89371,                0.93001,                0.77638,                0.68319,                0.40257,                0.98941,             0.00037438,             0.00037438,             0.00037438
                    120,                0.27173,                0.36307,                0.85305,                 0.9485,                0.88209,                0.92906,                0.77583,                0.68172,                0.40406,                0.98821,              0.0003669,              0.0003669,              0.0003669
                    121,                0.27203,                0.36312,                0.85385,                0.93125,                 0.8927,                0.92797,                0.77313,                0.68699,                0.40849,                0.99391,             0.00035945,             0.00035945,             0.00035945
