                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67327,                0.74811,                 1.1098,                0.49972,                0.44234,                 0.4717,                0.29802,                 1.8821,                 1.5808,                 1.9299,               0.066728,             3.3306e-05,             3.3306e-05
                      2,                0.66815,                0.70748,                 1.1013,                0.55404,                0.56642,                0.55749,                0.33971,                 1.8161,                 1.4578,                 1.8506,               0.033428,             6.6632e-05,             6.6632e-05
                      3,                0.64974,                0.67469,                 1.0896,                0.60669,                0.60148,                0.60773,                0.36908,                 1.7722,                 1.3591,                 1.8038,              0.0001275,             9.9929e-05,             9.9929e-05
                      4,                0.64857,                0.66673,                 1.0865,                0.66085,                0.58159,                0.63005,                0.39211,                 1.7473,                 1.3188,                 1.7682,             9.9902e-05,             9.9902e-05,             9.9902e-05
                      5,                0.64749,                0.66187,                 1.0879,                0.68167,                0.66413,                0.68361,                0.41381,                  1.735,                 1.2904,                  1.757,             9.9902e-05,             9.9902e-05,             9.9902e-05
                      6,                0.64735,                0.64883,                 1.0856,                0.65063,                0.63056,                0.65338,                 0.4068,                 1.7294,                 1.2755,                   1.75,             9.9826e-05,             9.9826e-05,             9.9826e-05
                      7,                0.64915,                0.64414,                 1.0841,                0.66745,                0.60393,                0.66046,                0.41195,                 1.7249,                 1.2393,                 1.7366,             9.9729e-05,             9.9729e-05,             9.9729e-05
                      8,                 0.6406,                0.64098,                 1.0793,                0.68847,                0.63409,                0.67285,                0.41667,                 1.7059,                 1.2522,                 1.7323,              9.961e-05,              9.961e-05,              9.961e-05
                      9,                0.63257,                0.63919,                  1.079,                0.69515,                0.64493,                  0.682,                0.42415,                 1.6804,                 1.2263,                 1.6953,             9.9469e-05,             9.9469e-05,             9.9469e-05
                     10,                0.63361,                0.62863,                 1.0732,                0.65829,                0.68994,                0.68916,                0.42675,                 1.6719,                 1.1964,                  1.695,             9.9307e-05,             9.9307e-05,             9.9307e-05
                     11,                0.62449,                0.62334,                 1.0736,                0.68248,                0.64095,                0.67493,                0.42857,                 1.6929,                 1.2294,                 1.7186,             9.9123e-05,             9.9123e-05,             9.9123e-05
                     12,                0.63032,                0.62589,                 1.0697,                0.68125,                0.65089,                0.68815,                0.43204,                 1.6854,                 1.2194,                 1.7126,             9.8918e-05,             9.8918e-05,             9.8918e-05
                     13,                0.63084,                0.61838,                 1.0707,                0.69439,                0.65893,                0.69589,                0.43091,                 1.6737,                 1.2054,                  1.699,             9.8692e-05,             9.8692e-05,             9.8692e-05
                     14,                0.61804,                0.60922,                 1.0651,                0.69884,                0.65165,                0.69169,                0.43538,                 1.6646,                 1.1864,                 1.6876,             9.8445e-05,             9.8445e-05,             9.8445e-05
                     15,                0.62586,                0.61218,                 1.0665,                0.71377,                0.67455,                0.70825,                0.45389,                 1.6588,                 1.1784,                 1.6767,             9.8177e-05,             9.8177e-05,             9.8177e-05
                     16,                0.63408,                0.61038,                 1.0627,                0.70454,                0.65776,                0.69799,                0.43713,                 1.6715,                 1.1821,                 1.6794,             9.7887e-05,             9.7887e-05,             9.7887e-05
                     17,                0.62291,                 0.6087,                 1.0603,                0.72022,                0.68236,                0.71932,                0.45171,                  1.644,                 1.1274,                 1.6513,             9.7577e-05,             9.7577e-05,             9.7577e-05
                     18,                0.61402,                0.60158,                 1.0561,                0.71008,                0.69004,                0.72142,                0.44717,                 1.6432,                 1.1595,                 1.6479,             9.7247e-05,             9.7247e-05,             9.7247e-05
                     19,                0.61688,                0.59815,                 1.0585,                0.71154,                0.66657,                0.71475,                0.45064,                 1.6315,                 1.1548,                  1.648,             9.6895e-05,             9.6895e-05,             9.6895e-05
                     20,                0.62734,                0.60841,                 1.0642,                0.69804,                0.67939,                0.71538,                 0.4459,                 1.6227,                 1.1402,                 1.6365,             9.6524e-05,             9.6524e-05,             9.6524e-05
                     21,                0.61494,                0.60085,                 1.0562,                0.72252,                0.68887,                0.72386,                0.45851,                 1.6332,                 1.1308,                 1.6398,             9.6132e-05,             9.6132e-05,             9.6132e-05
                     22,                0.61997,                0.59892,                 1.0534,                0.69752,                0.66475,                0.69776,                 0.4432,                 1.6277,                 1.1333,                  1.636,             9.5721e-05,             9.5721e-05,             9.5721e-05
                     23,                0.61745,                0.59944,                 1.0599,                 0.7173,                0.67806,                0.72629,                0.45794,                 1.6312,                 1.1382,                 1.6361,             9.5289e-05,             9.5289e-05,             9.5289e-05
                     24,                0.62217,                0.59543,                 1.0553,                0.69833,                0.70629,                0.72937,                0.46341,                 1.6195,                 1.1317,                  1.628,             9.4838e-05,             9.4838e-05,             9.4838e-05
                     25,                0.61138,                0.57949,                 1.0498,                 0.7139,                0.70775,                0.73547,                0.46818,                  1.616,                  1.127,                 1.6219,             9.4367e-05,             9.4367e-05,             9.4367e-05
                     26,                0.60662,                 0.5874,                 1.0476,                0.70095,                0.69078,                0.72827,                0.46355,                 1.6132,                 1.1268,                 1.6223,             9.3877e-05,             9.3877e-05,             9.3877e-05
                     27,                0.61584,                0.58637,                 1.0461,                0.72788,                0.69677,                0.73313,                0.46057,                 1.6092,                 1.1171,                 1.6158,             9.3368e-05,             9.3368e-05,             9.3368e-05
                     28,                0.60389,                0.57553,                 1.0424,                0.72046,                0.70761,                0.73391,                0.46589,                 1.6074,                 1.0961,                 1.6074,             9.2841e-05,             9.2841e-05,             9.2841e-05
                     29,                0.60592,                0.57756,                 1.0436,                0.72313,                0.70356,                 0.7381,                0.47114,                 1.6008,                 1.0975,                 1.5992,             9.2294e-05,             9.2294e-05,             9.2294e-05
                     30,                0.61196,                0.57361,                 1.0499,                0.72065,                0.70481,                0.73532,                0.46885,                 1.6099,                 1.0779,                 1.6107,              9.173e-05,              9.173e-05,              9.173e-05
                     31,                0.61111,                0.57686,                 1.0461,                 0.7249,                0.70434,                0.74468,                0.47328,                 1.6058,                 1.0807,                 1.6076,             9.1147e-05,             9.1147e-05,             9.1147e-05
                     32,                0.61095,                0.57783,                 1.0464,                0.73916,                0.68266,                   0.74,                0.47113,                 1.5942,                 1.0776,                 1.6078,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     33,                 0.6041,                 0.5785,                  1.043,                0.71835,                 0.7096,                  0.744,                0.47252,                 1.5982,                 1.0857,                 1.6082,             8.9928e-05,             8.9928e-05,             8.9928e-05
                     34,                0.60703,                0.56835,                 1.0463,                0.71633,                0.69583,                0.73129,                0.46844,                 1.6072,                 1.0976,                  1.617,             8.9293e-05,             8.9293e-05,             8.9293e-05
                     35,                0.59718,                0.56895,                 1.0418,                0.72183,                0.72133,                0.74439,                0.47003,                 1.6009,                 1.0891,                 1.6113,              8.864e-05,              8.864e-05,              8.864e-05
                     36,                0.61361,                0.56593,                 1.0465,                 0.7113,                0.71021,                0.73609,                0.46673,                 1.6049,                 1.0811,                 1.6117,             8.7971e-05,             8.7971e-05,             8.7971e-05
                     37,                0.60508,                0.57076,                 1.0412,                0.72626,                0.71117,                0.74784,                 0.4733,                 1.6052,                   1.08,                 1.6104,             8.7286e-05,             8.7286e-05,             8.7286e-05
                     38,                0.60042,                0.55675,                 1.0421,                0.73206,                0.68562,                0.74127,                0.47494,                 1.6033,                 1.0707,                 1.6046,             8.6584e-05,             8.6584e-05,             8.6584e-05
                     39,                0.60812,                0.56307,                 1.0461,                0.73587,                0.70096,                 0.7485,                0.47442,                 1.6064,                 1.0707,                 1.6055,             8.5866e-05,             8.5866e-05,             8.5866e-05
                     40,                0.60284,                0.56095,                   1.04,                0.73805,                0.67808,                0.73681,                0.47609,                 1.5975,                 1.0728,                    1.6,             8.5133e-05,             8.5133e-05,             8.5133e-05
                     41,                0.59516,                0.55918,                 1.0403,                0.72562,                 0.7006,                 0.7404,                0.47756,                 1.5917,                 1.0639,                 1.5953,             8.4385e-05,             8.4385e-05,             8.4385e-05
                     42,                 0.5965,                0.56092,                 1.0355,                0.71815,                0.71681,                0.74237,                0.47771,                  1.587,                 1.0614,                 1.5907,             8.3622e-05,             8.3622e-05,             8.3622e-05
                     43,                0.60096,                0.55851,                  1.042,                0.71196,                0.73193,                0.74463,                0.47911,                 1.5853,                 1.0646,                  1.589,             8.2844e-05,             8.2844e-05,             8.2844e-05
                     44,                0.59532,                 0.5557,                 1.0336,                0.71604,                0.72996,                 0.7468,                0.48304,                 1.5819,                 1.0577,                 1.5852,             8.2052e-05,             8.2052e-05,             8.2052e-05
                     45,                0.60245,                0.55712,                 1.0353,                0.71776,                 0.7281,                0.74856,                0.48433,                 1.5803,                 1.0566,                  1.583,             8.1247e-05,             8.1247e-05,             8.1247e-05
                     46,                0.59123,                0.54998,                 1.0295,                0.71997,                0.72703,                0.74981,                0.48521,                 1.5788,                 1.0567,                 1.5816,             8.0428e-05,             8.0428e-05,             8.0428e-05
                     47,                0.59605,                0.55644,                 1.0335,                0.72565,                0.73042,                0.75146,                0.48717,                 1.5785,                 1.0583,                 1.5823,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     48,                0.59714,                0.54695,                 1.0331,                0.71706,                0.72401,                0.74543,                0.48465,                 1.5798,                 1.0573,                 1.5823,              7.875e-05,              7.875e-05,              7.875e-05
                     49,                0.59104,                0.54719,                 1.0276,                0.71634,                0.72695,                0.74431,                0.48359,                 1.5797,                 1.0583,                  1.582,             7.7893e-05,             7.7893e-05,             7.7893e-05
                     50,                0.59581,                0.55288,                 1.0333,                0.73363,                0.73352,                 0.7551,                0.48343,                 1.5807,                 1.0588,                 1.5831,             7.7023e-05,             7.7023e-05,             7.7023e-05
                     51,                0.58931,                0.54722,                 1.0272,                0.72844,                0.73433,                0.75344,                0.48487,                 1.5797,                 1.0555,                 1.5834,             7.6142e-05,             7.6142e-05,             7.6142e-05
                     52,                0.59543,                0.54861,                 1.0304,                0.72937,                0.73573,                 0.7562,                0.48283,                 1.5801,                 1.0531,                 1.5852,              7.525e-05,              7.525e-05,              7.525e-05
                     53,                0.59483,                0.54517,                 1.0313,                0.72729,                0.73503,                0.75614,                0.48431,                 1.5784,                 1.0513,                 1.5843,             7.4347e-05,             7.4347e-05,             7.4347e-05
